Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;Location
Ptyodactylus;togoensis;Ptyodactylus_togoensis;Ptyodactylus togoensis;Genus Hajars;0;1;0;1;No Arabia
Rhacodactylus;leachianus;Rhacodactylus_leachianus;Rhacodactylus leachianus;Backbone;0;1;0;1;No Arabia
Rhineura;floridana;Rhineura_floridana;Rhineura floridana;Backbone;0;1;0;1;No Arabia
Rhinophis;drummondhayi;Rhinophis_drummondhayi;Rhinophis drummondhayi;Backbone;0;1;0;1;No Arabia
Saara;hardwickii;Saara_hardwickii;Saara hardwickii;Backbone;0;1;0;1;No Arabia
Scincus;mitranus;Scincus_mitranus;Scincus mitranus;HAJARS_no_endem;0;1;1;0;Arabia
Scincus;scincus_conirostris;Scincus_scincus_conirostris;Scincus scincus conirostris;HAJARS_no_endem;0;1;1;0;Arabia
Shinisaurus;crocodilurus;Shinisaurus_crocodilurus;Shinisaurus crocodilurus;Backbone;0;1;0;1;No Arabia
Spalerosophis;diadema;Spalerosophis_diadema;Spalerosophis diadema cliffordii;HAJARS_no_endem;0;1;1;0;Arabia
Sphaerodactylus;elegans;Sphaerodactylus_elegans;Sphaerodactylus elegans;Backbone;0;1;0;1;No Arabia
Sphaerodactylus;macrolepis;Sphaerodactylus_macrolepis;Sphaerodactylus macrolepis;Backbone;0;1;0;1;No Arabia
Sphenodon;punctatus;Sphenodon_punctatus;Sphenodon punctatus;Backbone;0;1;0;1;No Arabia
Stenodactylus;leptocosymbotes;Stenodactylus_leptocosymbotes;Stenodactylus leptocosymbotes;HAJARS_no_endem;0;1;1;0;Arabia
Stenodactylus;doriae;Stenodactylus_doriae;Stenodactylus doriae;HAJARS_no_endem;0;1;1;0;Arabia
Telescopus;dhara;Telescopus_dhara;Telescopus dhara;HAJARS_no_endem;0;1;1;0;Arabia
Teratoscincus;keyserlingii;Teratoscincus_keyserlingii;Teratoscincus keyserlingii;backbone;0;1;1;0;Arabia
Trachydactylus;hajarensis;Trachydactylus_hajarensis;Trachydactylus hajarensis;Hajars;1;0;1;0;Arabia
Trachydactylus;spatalurus;Trachydactylus_spatalurus;Trachydactylus spatalurus;Genus Hajars;0;1;1;0;Arabia
Trachylepis;tesellata;Trachylepis_tesellata;Trachylepis tessellata;HAJARS_no_endem;0;1;1;0;Arabia
Trapelus;flavimaculatus;Trapelus_flavimaculatus;Trapelus flavimaculatus;HAJARS_no_endem;0;1;1;0;Arabia
Trapelus;boehmei;Trapelus_boehmei;Trapelus boehmei;Backbone;0;1;0;1;No Arabia
Trogonodactylus;arabicus;Trogonodactylus_arabicus;Trogonodactylus arabicus;HAJARS_no_endem;0;1;1;0;Arabia
Trogonodactylus;sharqiyahensis;Trogonodactylus_sharqiyahensis;Trogonodactylus sharqiyahensis;HAJARS_no_endem;0;1;1;0;Arabia
Tropidophis;haetianus;Tropidophis_haetianus;Tropidophis haetianus;Backbone;0;1;0;1;No Arabia
Uromastyx;aegyptia_aeg;Uromastyx_aegyptia_aeg;Uromastyx aegyptia aegyptia;HAJARS_no_endem;0;1;0;1;No Arabia
Uromastyx;aegyptia_lep;Uromastyx_aegyptia_lep;Uromastyx aegyptia leptieni;HAJARS_no_endem;0;1;1;0;Arabia
Uromastyx;aegyptia_mic;Uromastyx_aegyptia_mic;Uromastyx aegyptia microlepis;HAJARS_no_endem;0;1;1;0;Arabia
Uromastyx;benti;Uromastyx_benti;Uromastyx benti;HAJARS_no_endem;0;1;1;0;Arabia
Uromastyx;nigriventris;Uromastyx_nigriventris;Uromastyx nigriventris;HAJARS_no_endem;0;1;0;1;No Arabia
Uromastyx;ornata_phi;Uromastyx_ornata_phi;Uromastyx ornata philbyi;HAJARS_no_endem;0;1;1;0;Arabia
Uromastyx;thomasi;Uromastyx_thomasi;Uromastyx thomasi;HAJARS_no_endem;0;1;1;0;Arabia
Urostrophus;vautieri;Urostrophus_vautieri;Urostrophus vautieri;Backbone;0;1;0;1;No Arabia
Uta;stansburiana;Uta_stansburiana;Uta stansburiana;Backbone;0;1;0;1;No Arabia
Varanus;griseus;Varanus_griseus;Varanus griseus;Backbone;0;1;1;0;Arabia
Varanus;mertensi;Varanus_mertensi;Varanus mertensi;HAJARS_no_endem;0;1;0;1;No Arabia
Varanus;mitchelli;Varanus_mitchelli;Varanus mitchelli;HAJARS_no_endem;0;1;0;1;No Arabia
Varanus;salvator;Varanus_salvator;Varanus salvator;HAJARS_no_endem;0;1;0;1;No Arabia
Woodworthia;maculatus;Woodworthia_maculatus;Woodworthia maculatus;Backbone;0;1;0;1;No Arabia
Xantusia;vigilis;Xantusia_vigilis;Xantusia vigilis;Backbone;0;1;0;1;No Arabia
Xenodermus;javanicus;Xenodermus_javanicus;Xenodermus javanicus;Backbone;0;1;0;1;No Arabia
Xenopeltis;unicolor;Xenopeltis_unicolor;Xenopeltis unicolor;Backbone;0;1;0;1;No Arabia
Xenosaurus;grandis;Xenosaurus_grandis;Xenosaurus grandis;Backbone;0;1;0;1;No Arabia
Xenotyphlops;grandidieri;Xenotyphlops_grandidieri;Xenotyphlops grandidieri;Backbone;0;1;0;1;No Arabia
Zonosaurus;ornatus;Zonosaurus_ornatus;Zonosaurus ornatus;Backbone;0;1;0;1;No Arabia
